,filename,x,y
0,wally_004.jpg,782,877
1,wally_005.jpg,217,329
2,wally_010.jpg,500,601
3,wally_016.jpg,521,347
4,wally_021.jpg,665,885
5,wally_025.jpg,603,307
6,wally_041.jpg,75,771
7,wally_051.jpg,208,533
8,wally_057.jpg,320,409
9,wally_058.jpg,302,370
10,wally_062.jpg,125,157
11,wally_063.jpg,262,147
12,wally_070.jpg,249,217
13,wally_071.jpg,586,223
14,wally_076.jpg,904,147
15,wally_078.jpg,266,428
16,wally_079.jpg,739,728
17,wally_084.jpg,422,444
18,wally_103.jpg,101,177
19,wally_105.jpg,594,383
20,wally_109.jpg,551,624
21,wally_111.jpg,490,227
22,wally_112.jpg,116,741
23,wally_114.jpg,-53,0
24,wally_118.jpg,552,467
25,wally_128.jpg,-165,0
26,wally_130.jpg,398,369
27,wally_139.jpg,391,693
28,wally_145.jpg,681,456
29,wally_149.jpg,670,241
