Ham,"b'Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...'"
Spam,"b'SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE'"
Spam,"b""25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity."""
Spam,b'U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901'
Spam,"b'Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062'"
Spam,b'Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow'
Spam,b'We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed'
Spam,b'Last chance 2 claim ur \xc2\xa3150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. \xc2\xa33.00 Sub. 16 . Remove txt X or STOP'
Spam,"b'Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ '"
Spam,"b""Today's Offer! Claim ur \xc2\xa3150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. \xc2\xa33.00 Sub. 16 . Unsub reply X"""
Spam,b'Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.'
Ham,b'Did he just say somebody is named tampa'
Ham,b'In work now. Going have in few min.'
Ham,b'Your brother is a genius'
Ham,"b""Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"""
Ham,b'Did u find out what time the bus is at coz i need to sort some stuff out.'
Ham,b'Dude ive been seeing a lotta corvettes lately'
Spam,b'Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net \xc2\xa31.50pm approx 3mins'
Ham,"b""Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"""
Spam,b'PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04'
Spam,b'Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r'
Spam,b'What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!'
Ham,"b'Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!'"
